geography_type,geography_name,year,animal,count
Region,Canterbury,1996,Beef cattle,490087
Region,Canterbury,1997,Beef cattle,NA
Region,Canterbury,1998,Beef cattle,NA
Region,Canterbury,1999,Beef cattle,515657
Region,Canterbury,2000,Beef cattle,NA
Region,Canterbury,2001,Beef cattle,NA
Region,Canterbury,2002,Beef cattle,505461
Region,Canterbury,2003,Beef cattle,553846
Region,Canterbury,2004,Beef cattle,532238
Region,Canterbury,2005,Beef cattle,534176
Region,Canterbury,2006,Beef cattle,529952
Region,Canterbury,2007,Beef cattle,584806
Region,Canterbury,2008,Beef cattle,533665
Region,Canterbury,2009,Beef cattle,529467
Region,Canterbury,2010,Beef cattle,486385
Region,Canterbury,2011,Beef cattle,517760
Region,Canterbury,2012,Beef cattle,470746
Region,Canterbury,2013,Beef cattle,492844
Region,Canterbury,2014,Beef cattle,447244
Region,Canterbury,2015,Beef cattle,440598
Region,Canterbury,2016,Beef cattle,465462
Region,Canterbury,2017,Beef cattle,467550
Region,Canterbury,2018,Beef cattle,512260
Region,Canterbury,2019,Beef cattle,524587
Region,Chatham Islands,1990,Beef cattle,NA
Region,Chatham Islands,1991,Beef cattle,NA
Region,Chatham Islands,1992,Beef cattle,NA
Region,Chatham Islands,1993,Beef cattle,4919
Region,Chatham Islands,1994,Beef cattle,6472
Region,Chatham Islands,1995,Beef cattle,6942
Region,Chatham Islands,1996,Beef cattle,7565
Region,Chatham Islands,1997,Beef cattle,NA
Region,Chatham Islands,1998,Beef cattle,NA
Region,Chatham Islands,1999,Beef cattle,9190
Region,Chatham Islands,2000,Beef cattle,NA
Region,Chatham Islands,2001,Beef cattle,NA
Region,Chatham Islands,2002,Beef cattle,8863
Region,Chatham Islands,2003,Beef cattle,NA
Region,Chatham Islands,2004,Beef cattle,NA
Region,Chatham Islands,2005,Beef cattle,NA
Region,Chatham Islands,2006,Beef cattle,NA
Region,Chatham Islands,2007,Beef cattle,11905
Region,Chatham Islands,2008,Beef cattle,12327
Region,Chatham Islands,2009,Beef cattle,13374
Region,Chatham Islands,2010,Beef cattle,13809
Region,Chatham Islands,2011,Beef cattle,NA
